sku,included_1,included_2,included_3,included_4,included_5,included_6,included_7,included_8,included_9,included_10,not_included_1,not_included_2,not_included_3,not_included_4,not_included_5,not_included_6,not_included_7,not_included_8,not_included_9,not_included_10,language,market
66838000,,,,,,,,,,,,,,,,,,,,,de,DE
40806000,,,,,,,,,,,,,,,,,,,,,de,DE
42375LI0,,,,,,,,,,,,,,,,,,,,,de,DE
27598001,,,,,,,,,,,,,,,,,,,,,de,DE
18026000,,,,,,,,,,,,,,,,,,,,,de,DE
46581DC0,,,,,,,,,,,,,,,,,,,,,de,DE
46684000,,,,,,,,,,,,,,,,,,,,,de,DE
46720000,,,,,,,,,,,,,,,,,,,,,de,DE
46869000,,,,,,,,,,,,,,,,,,,,,de,DE
46943000,,,,,,,,,,,,,,,,,,,,,de,DE
47363000,,,,,,,,,,,,,,,,,,,,,de,DE
47451IP0,,,,,,,,,,,,,,,,,,,,,de,DE
47475000,,,,,,,,,,,,,,,,,,,,,de,DE
47562000,,,,,,,,,,,,,,,,,,,,,de,DE
47693IP0,,,,,,,,,,,,,,,,,,,,,de,DE
47747000,,,,,,,,,,,,,,,,,,,,,de,DE
47901000,,,,,,,,,,,,,,,,,,,,,de,DE
47916000,,,,,,,,,,,,,,,,,,,,,de,DE
47937000,,,,,,,,,,,,,,,,,,,,,de,DE
48053000,,,,,,,,,,,,,,,,,,,,,de,DE
48132000,,,,,,,,,,,,,,,,,,,,,de,DE
48179000,,,,,,,,,,,,,,,,,,,,,de,DE
48217000,,,,,,,,,,,,,,,,,,,,,de,DE
39415000,Actuation plate,WC,Sitz und Bezug,,,,,,,,,,,,,,,,,,de,DE
19297001,,,,,,,,,,,,,,,,,,,,,de,DE
48098DC0,,,,,,,,,,,,,,,,,,,,,de,DE
14055000,,,,,,,,,,,,,,,,,,,,,de,DE
35600000,sealing fleece,,,,,,,,,,Ohne Fertigmontageset,,,,,,,,,,de,DE
39454000,,,,,,,,,,,,,,,,,,,,,de,DE
46982DC0,,,,,,,,,,,,,,,,,,,,,de,DE
31543DC0,,,,,,,,,,,,,,,,,,,,,de,DE
46987000,,,,,,,,,,,,,,,,,,,,,de,DE
28261002,,,,,,,,,,,,,,,,,,,,,de,DE
34256004,,,,,,,,,,,,,,,,,,,,,de,DE
26508LS0,,,,,,,,,,,,,,,,,,,,,de,DE
32322002,,,,,,,,,,,,,,,,,,,,,de,DE
24066003,,,,,,,,,,,,,,,,,,,,,de,DE
3284320E,,,,,,,,,,,,,,,,,,,,,de,DE
34727000,,,,,,,,,,,,,,,,,,,,,de,DE
22039A00,,,,,,,,,,,,,,,,,,,,,de,DE
22039GL0,,,,,,,,,,,,,,,,,,,,,de,DE
39551000,,,,,,,,,,,,,,,,,,,,,de,DE
48409000,,,,,,,,,,,,,,,,,,,,,de,DE
48418000,,,,,,,,,,,,,,,,,,,,,de,DE
49108000,,,,,,,,,,,,,,,,,,,,,de,DE
2339330E,,,,,,,,,,,,,,,,,,,,,de,DE
23551002,GROHE QuickTool,Push-Open-Ablaufgarnitur,,,,,,,,,,,,,,,,,,,de,DE
40400AL0,,,,,,,,,,,,,,,,,,,,,de,DE
40996DL0,,,,,,,,,,,,,,,,,,,,,de,DE
23985003,,,,,,,,,,,,,,,,,,,,,de,DE
27796003,,,,,,,,,,,,,,,,,,,,,de,DE
27849003,,,,,,,,,,,,,,,,,,,,,de,DE
26836A00,,,,,,,,,,,,,,,,,,,,,de,DE
26974001,,,,,,,,,,,,,,,,,,,,,de,DE
27947002,,,,,,,,,,,,,,,,,,,,,de,DE
42589GN1,,,,,,,,,,,,,,,,,,,,,de,DE
19334DA1,,,,,,,,,,,,,,,,,,,,,de,DE
27513GN1,,,,,,,,,,,,,,,,,,,,,de,DE
14215000,,,,,,,,,,,,,,,,,,,,,de,DE
48609000,,,,,,,,,,,,,,,,,,,,,de,DE
31945K00,,,,,,,,,,,,,,,,,,,,,de,DE
34863DC0,rough-in,,,,,,,,,,,,,,,,,,,,de,DE
34880000,,,,,,,,,,,,,,,,,,,,,de,DE
48639DL0,,,,,,,,,,,,,,,,,,,,,de,DE
100962KF00,,,,,,,,,,,,,,,,,,,,,de,DE
26659DC0,,,,,,,,,,,,,,,,,,,,,de,DE
26885GL0,,,,,,,,,,,,,,,,,,,,,de,DE
27076AL0,,,,,,,,,,,,,,,,,,,,,de,DE
269542431,,,,,,,,,,,,,,,,,,,,,de,DE
410982430,,,,,,,,,,,,,,,,,,,,,de,DE
411152430,,,,,,,,,,,,,,,,,,,,,de,DE
1017492430,,,,,,,,,,,,,,,,,,,,,de,DE
101299GL00,,,,,,,,,,,,,,,,,,,,,de,DE
101301AL00,,,,,,,,,,,,,,,,,,,,,de,DE
101341DA00,,,,,,,,,,,,,,,,,,,,,de,DE
101342GL00,,,,,,,,,,,,,,,,,,,,,de,DE
1013820000,,,,,,,,,,,,,,,,,,,,,de,DE
101384AL00,,,,,,,,,,,,,,,,,,,,,de,DE
1013880000,,,,,,,,,,,,,,,,,,,,,de,DE
1014029990,,,,,,,,,,,,,,,,,,,,,de,DE
1016730000,,,,,,,,,,,,,,,,,,,,,de,DE
1018140000,,,,,,,,,,,,,,,,,,,,,de,DE
27075GL0,,,,,,,,,,,,,,,,,,,,,de,DE
65713000,,,,,,,,,,,,,,,,,,,,,de,DE
