sku,warranty_default,warranty_extension_register,warranty_extension_grohe_plus_installers,warranty_special_UK,warranty_special_france,warranty_special_denmark,warranty_special_spain
66838000,2,,,,,,
40806000,5,,,,,,
42375LI0,2,,,,,,
27598001,5,,,,,,
18026000,2,,,,,,
46581DC0,2,,,,,,
46684000,2,,,,,,
46720000,2,,,,,,
46869000,2,,,,,,
46943000,2,,,,,,
47363000,2,,,,,,
47451IP0,2,,,,,,
47475000,2,,,,,,
47562000,2,,,,,,
47693IP0,2,,,,,,
47747000,2,,,,,,
47901000,2,,,,,,
47916000,2,,,,,,
47937000,2,,,,,,
48053000,2,,,,,,
48132000,2,,,,,,
48179000,2,,,,,,
48217000,2,,,,,,
39415000,5,,,,,,
19297001,5,,,,,,
48098DC0,2,,,,,,
14055000,2,,,,,,
35600000,10,,,,,,
39454000,2,,,,,,
46982DC0,2,,,,,,
31543DC0,2.1,,,,,,
46987000,2,,,,,,
28261002,5,,,,,,
34256004,5,,,,,,
26508LS0,5,,,,,,
32322002,5,,,,,,
24066003,5,,,,,,
3284320E,5,,,,,,
34727000,5,,,,,,
22039A00,5,,,,,,
22039GL0,5,,,,,,
39551000,2,,,,,,
48409000,2,,,,,,
48418000,2,,,,,,
49108000,2,,,,,,
2339330E,5,,,,,,
23551002,5.1,,,,,,
40400AL0,2,,,,,,
40996DL0,2,,,,,,
23985003,5,,,,,,
27796003,5,,,,,,
27849003,5,,,,,,
26836A00,5,,,,,,
26974001,5,,,,,,
27947002,5,,,,,,
42589GN1,2,,,,,,
19334DA1,5,,,,,,
27513GN1,5,,,,,,
14215000,2,,,,,,
48609000,2,,,,,,
31945K00,2,,,,,,
34863DC0,5,,,,,,
34880000,5,,,,,,
48639DL0,2,,,,,,
100962KF00,5,,,,,,
26659DC0,5,,,,,,
26885GL0,5,,,,,,
27076AL0,5,,,,,,
269542431,5,,,,,,
410982430,5,,,,,,
411152430,5,,,,,,
1017492430,5,,,,,,
101299GL00,2,,,,,,
101301AL00,2,,,,,,
101341DA00,2,,,,,,
101342GL00,2,,,,,,
1013820000,2,,,,,,
101384AL00,2,,,,,,
1013880000,2,,,,,,
1014029990,2,,,,,,
1016730000,5,,,,,,
1018140000,5,,,,,,
27075GL0,5,,,,,,
65713000,2,,,,,,
23263000,5,,,,,,
1126800M,2,,,,,,
34614000,5,,,,,,
13376000,2,,,,,,
14915000,2,,,,,,
47975000,2,,,,,,
48171000,2,,,,,,
23766000,5,,,,,,
26389000,5,,,,,,
26396000,5,,,,,,
3948000H,5,,,,,,
40256003,5,,,,,,
48379000,2,,,,,,
19309002,5,,,,,,
19380DA2,5,,,,,,
19446DL2,5,,,,,,
25227DL0,5,,,,,,
49540000,2,,,,,,
48474000,2,,,,,,
40341GL1,5,,,,,,
40342DA1,5,,,,,,
40342GN1,5,,,,,,
23763001,5,,,,,,
23778001,5,,,,,,
29181DA2,5,,,,,,
38629001,2,,,,,,
36464000,10,,,,,,
23843AL3,5,,,,,,
36337001,10,,,,,,
34800000,5,,,,,,
48405AL0,2,,,,,,
24178001,5,,,,,,
25249001,5,,,,,,
25252001,5,,,,,,
24170DA1,5,,,,,,
25248DL1,5,,,,,,
25250DA1,5,,,,,,
24193001,5,,,,,,
