sku,portfolio,EU_taxonomy,recommended,water_saving,energy_saving
66838000,GROHE,,,,
40806000,GROHE Professional,,,,
42375LI0,GROHE,,,,
27598001,GROHE Professional,,,,
18026000,GROHE,,,,
46581DC0,GROHE,,,,
46684000,GROHE,,,,
46720000,GROHE,,,,
46869000,GROHE,,,,
46943000,GROHE,,,,
47363000,GROHE,,,,
47451IP0,GROHE,,,,
47475000,GROHE,,,,
47562000,GROHE,,,,
47693IP0,GROHE,,,,
47747000,GROHE,,,,
47901000,GROHE,,,,
47916000,GROHE Professional,,,,
47937000,GROHE,,,,
48053000,GROHE Professional,,,,
48132000,GROHE,,,,
48179000,GROHE,,,,
48217000,GROHE,,,,
39415000,Do It Yourself (DIY),,,,
19297001,GROHE Professional,,,,
48098DC0,GROHE,,,,
14055000,GROHE Professional,,,,
35600000,GROHE Professional,,,,
39454000,GROHE,,,,
46982DC0,GROHE,,,,
31543DC0,GROHE,,,,
46987000,GROHE,,,,
28261002,GROHE Professional,,,,
34256004,GROHE Professional,,,,
26508LS0,GROHE Professional,,,,
32322002,GROHE Professional,,,,
24066003,GROHE SPA,,,,
3284320E,GROHE Professional,,,,
34727000,GROHE Professional,,,,
22039A00,GROHE,,,,
22039GL0,GROHE,,,,
39551000,GROHE,,,,
48409000,GROHE,,,,
48418000,GROHE,,,,
49108000,GROHE,,,,
2339330E,GROHE Professional,TRUE,,,
23551002,Do It Yourself (DIY),TRUE,,,
40400AL0,GROHE,,,,
40996DL0,GROHE,,,,
23985003,GROHE Professional,,,,
27796003,GROHE Professional,,,,
27849003,GROHE Professional,,,,
26836A00,GROHE Professional,,,,
26974001,Do It Yourself (DIY),,,,
27947002,Do It Yourself (DIY),,,,
42589GN1,GROHE,,,,
19334DA1,GROHE SPA,,,,
27513GN1,GROHE Professional,,,,
14215000,GROHE SPA,,,,
48609000,GROHE,,,,
31945K00,GROHE,,,,
34863DC0,GROHE Professional,,,,
34880000,Do It Yourself (DIY),TRUE,,,
48639DL0,GROHE,,,,
100962KF00,GROHE SPA,,,,
26659DC0,GROHE Professional,,,,
26885GL0,GROHE SPA,,,,
27076AL0,GROHE Professional,,,,
269542431,Do It Yourself (DIY),,,,
410982430,Do It Yourself (DIY),,,,
411152430,Do It Yourself (DIY),,,,
1017492430,GROHE Professional,TRUE,,,
101299GL00,GROHE SPA,,,,
101301AL00,GROHE SPA,,,,
101341DA00,GROHE SPA,,,,
101342GL00,GROHE SPA,,,,
1013820000,GROHE SPA,,,,
101384AL00,GROHE SPA,,,,
1013880000,GROHE SPA,,,,
1014029990,GROHE SPA,,,,
1016730000,GROHE SPA,,,,
1018140000,GROHE Professional,,,,
27075GL0,GROHE Professional,,,,
65713000,GROHE,,,,
23263000,GROHE Professional,,,,
1126800M,GROHE,,,,
34614000,GROHE Professional,,,,
13376000,GROHE,,,,
14915000,GROHE,,,,
47975000,GROHE,,,,
48171000,GROHE,,,,
23766000,Do It Yourself (DIY),,,,
26389000,Do It Yourself (DIY),,,,
26396000,Do It Yourself (DIY),,,,
3948000H,GROHE Professional,,,,
40256003,GROHE SPA,,,,
48379000,GROHE,,,,
19309002,GROHE SPA,TRUE,,,
19380DA2,GROHE SPA,,,,
19446DL2,GROHE SPA,,,,
25227DL0,GROHE SPA,,,,
49540000,GROHE,,,,
48474000,GROHE,,,,
40341GL1,GROHE SPA,,,,
40342DA1,GROHE SPA,,,,
