COD_MATERIAL,COD_CHAR,VALUE_COMBINED
27238000,L1044,110
29119GL0,L1293,29
29124DL0,L1293,29
31323DC2,L1018,C
32545002,L1006,LOW
26161000,L1381,9
31368001,L1018,C
31554001,L1018,C
31347DC3,L1231,Y
30083DL1,L1231,Y
31498001,L1018,C
32670000,L1018,C
31543000,L1018,U
26568LS0,L1102,310
31138000,L1006,LOW
26588000,L1044,130
32661001,L1293,13
33569002,L1293,34
31555000,L1293,10
24096DC3,L1293,34
29121EN0,L1293,36
29415IG0,L1049,2000
3291800E,L1018,C
32488DC0,L1018,U
30583000,L1231,Y
31651AP0,L1000,15
31655AP0,L1308,"61/45,7"
31657AP0,L1203,LH
26564000,L1380,7.5
26564DA0,L1380,7.5
26171000,L1380,16.5
26457000,L1380,7.5
26558DC0,L1380,7.5
26872000,L1380,7
34768000,L1381,12.5
31573SD1,L1308,86X50
34743000,L1380,7.5
33261000,L1008,75 MM
27927003,L1293,13.5
26931001,L1293,13.5
32321DC0,L1018,C
31541KS0,L1018,C
27421002,L1102,260
26070000,L1102,254X254
345932432,L1008,153 MM
26559000,L1107,142
27947002,L1044,110
269302431,L1044,110
26933001,L1044,110
27227001,L1044,110
27477000,L1102,310
266882430,L1000,26
27978IG0,L1000,26
25227DC0,L1011,Y3
34363000,L1011,Y2
33387000,L1011,Y2
29124AL0,L1293,29
27765000,L1293,9.5
24099DC0,L1293,34
26054000,L1293,13
27134000,L1293,11.5
27962000,L1293,10.48
19316DC1,L1049,2000
25226MS0,L1049,2000
27275000,L1051,900
27226BE1,L1051,900
27854003,L1052,30
27226DC1,L1052,30
27646003,L1052,30
27251000,L1361,127
27251KS0,L1361,127
28947000,L1147,255
27953001,L1293,7.4
27950001,L1293,7.4
27242001,L1293,9.1
27227001,L1293,17
26679001,L1381,7.4
26388000,L1380,16.5
27853003,L1381,16.6
27277001,L1381,23.5
27491000,L1380,15.5
26817000,L1380,7.5
26680000,L1380,7.5
26075EN0,L1380,13.5
266892431,L1381,5.6
27473001,L1380,7.5
134866DL00,L1044,120
291212430,L1293,36
107055KF00,L1293,37.5
106867GL00,L1228,4
314942431,L1079,"3/8"""
231062431,L1079,"3/8"""
106867KF00,L1076,4
107055DC00,L1107,400
264032432,L1380,7.5
107056DA00,L1380,37.5
107056GL00,L1380,37.5
27918000,L1052,30
30157DC0,L1018,U
37161000,L1169,1.2
23777000,L1006,XL
28429000,L1107,55
26538000,L1102,210
26093001,L1042,III
27663LS0,L1042,IV
268042430,L1008,153 MM
264062433,L1044,110
26162003,L1044,110
27572003,L1044,110
26910003,L1044,110
