id,code,Link,language,market,title,short_text,long_text,Comments
1,1 Plus 2 Spray Types,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_1PLUS2SPRAY4C_000_01/original/1280/ZZH_TS_1PLUS2SPRAY4C_000_01.jpg,de,DE,1 Plus 2 Strahlarten,"Kopfbrause: 1 Strahlart, Handbrause: 2 Strahlarten","Kopfbrause: 1 Strahlart, Handbrause: 2 Strahlarten",
2,1 Plus 3 Spray Types,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_1PLUS3SPRAY4C_000_01/original/1280/ZZH_TS_1PLUS3SPRAY4C_000_01.jpg,de,DE,1 Plus 3 Strahlarten,"Kopfbrause: 1 Strahlart, Handbrause: 3 Strahlarten","Kopfbrause: 1 Strahlart, Handbrause: 3 Strahlarten",
3,140 Swivel Range Limit,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_140SWIVELRANGE4C_000_01/original/1280/ZZH_FB_140SWIVELRANGE4C_000_01.jpg,de,DE,140° Schwenkbereich,140° Schwenkbegrenzung für flexible Kontrolle,"Müheloses Schwenken für volle Kontrolle, die 140°-Begrenzung verhindert Kollisionen mit umstehenden Gegenständen und Wänden.",
4,150 Swivel Range Limit,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_150SWIVELRANGE4C_000_01/original/1280/ZZH_FB_150SWIVELRANGE4C_000_01.jpg,de,DE,150° Schwenkbereich,150° Schwenkbegrenzung für flexible Kontrolle,"Müheloses Schwenken für volle Kontrolle, die 150°-Begrenzung verhindert Kollisionen mit umstehenden Gegenständen und Wänden.",
5,180 Comfort Zone,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_180COMFORTZONE4C_000_01/original/1280/ZZH_FB_180COMFORTZONE4C_000_01.jpg,de,DE,180° Komfortzone,Duscharm schwenkt 180° für flexible Positionierung,"Schaffen Sie eine komfortable, flexible Duschzone mit einem 180° schwenkbaren Arm, der die Ausrichtung der Dusche nach Wunsch ermöglicht.",
6,2 Plus 1 Spray Type,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_2PLUS1SPRAY4C_000_01/original/1280/ZZH_TS_2PLUS1SPRAY4C_000_01.jpg,de,DE,2 Plus 1 Strahlarten,"Kopfbrause: 2 Strahlarten, Handbrause: 1 Strahlart","Kopfbrause: 2 Strahlarten, Handbrause: 1 Strahlart",
7,2 Plus 2 Spray Types,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_2PLUS2SPRAY4C_000_01/original/1280/ZZH_TS_2PLUS2SPRAY4C_000_01.jpg,de,DE,2 Plus 2 Strahlarten,Kopf- und Handbrause mit 2 Strahlarten,Kopf- und Handbrause mit 2 Strahlarten,
8,2 Plus 3 Spray Types,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_2PLUS3SPRAY4C_000_01/original/1280/ZZH_TS_2PLUS3SPRAY4C_000_01.jpg,de,DE,2 Plus 3 Strahlarten,"Kopfbrause: 2 Strahlarten, Handbrause: 3 Strahlarten","Kopfbrause: 2 Strahlarten, Handbrause: 3 Strahlarten",
9,Dual Spray,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_DUALSPRAY4C_000_01/original/1280/ZZH_FB_DUALSPRAY4C_000_01.jpg,de,DE,Dual Strahl,2 Strahlarten: spritzfrei & kraftvoll,"Der sanfte Laminar-Strahl verhindert Spritzwasser und eignet sich zum Befüllen von Behältern, während der kraftvolle Duschstrahl perfekt für die Reinigung ist.",
10,2 Sprays,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_2SPRAYS4C_000_01/original/1280/ZZH_TS_2SPRAYS4C_000_01.jpg,de,DE,2 Strahlarten,Brause mit 2 verschiedenen Strahlarten,Brause mit 2 verschiedenen Strahlarten,
11,3 Plus 3 Spray Types,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_3PLUS3SPRAY4C_000_01/original/1280/ZZH_TS_3PLUS3SPRAY4C_000_01.jpg,de,DE,3 Plus 3 Strahlarten,Kopf- und Handbrause mit 3 Strahlarten,Kopf- und Handbrause mit 3 Strahlarten,
12,3 Sprays,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_3SPRAYS4C_000_01/original/1280/ZZH_TS_3SPRAYS4C_000_01.jpg,de,DE,3 Strahlarten,Brause mit 3 verschiedenen Strahlarten,Brause mit 3 verschiedenen Strahlarten,
13,360 Swivel Range,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_360SWIVELRANGE4C_000_01/original/1280/ZZH_FB_360SWIVELRANGE4C_000_01.jpg,de,DE,360° Schwenkbereich,360° Schwenkbereich für maximale Flexibilität,Sanfte Bewegungen und volle Flexibilität in alle Richtungen für eine einfache Handhabung,
14,3L Spare Flush,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_3LSPAREFLUSH4C_000_01/original/1280/ZZH_FB_3LSPAREFLUSH4C_000_01.jpg,de,DE,3L Reservespülung,3 Liter Reservespülung für zusätzliche Reinigung,Diese 3 Liter-Reservespülung bietet zusätzliche Spülkraft neben der Standardspülung für eine effektive Reinigung bei jeder Nutzung.,
15,90 Swivel Range Limit,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_90SWIVELRANGE4C_000_01/original/1280/ZZH_FB_90SWIVELRANGE4C_000_01.jpg,de,DE,90° Schwenkbereich,90° Schwenkbereich für flexible Kontrolle,"Volle Kontrolle und flexible Handhabung dank einer leicht drehbaren Armatur, die nicht gegen Objekte oder Wände in der Umgebung stößt.",
16,ActiveMassage Spray,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_ACTIVEMASSAGESPRAY4C_000_01/original/1280/ZZH_FB_ACTIVEMASSAGESPRAY4C_000_01.jpg,de,DE,ActiveMassage Strahl,"Entspannen dank starkem, pulsierendem Massagestrahl",Kräftig und belebend – dieser Strahl massiert Nacken und Schultern pulsierend und eignet sich auch hervorragend zum Ausspülen von Shampoo.,
17,ActiveRain Spray,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_ACTIVERAINSPRAY4C_000_01/original/1280/ZZH_FB_ACTIVERAINSPRAY4C_000_01.jpg,de,DE,ActiveRain Strahl,Anregender Strahl zum Ausspülen von Shampoo,Für eine belebende Dusche sorgt dieser Strahl für prickelnde Haut. Er eignet sich perfekt für Nacken- und Schultermassagen und zum Ausspülen von Shampoo.,
18,Adjustable Flush Volume,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_ADJFLUSHVOLUME4C_000_01/original/1280/ZZH_FB_ADJFLUSHVOLUME4C_000_01.jpg,de,DE,Einstellbare Spülmenge,"Wassersparende, einstellbare Spülmenge","Einfacher Wasser sparen dank einstellbarer Spülmenge: ca. 3, 6 oder 9 Liter Spülvolumen sind wählbar.",
